【详情表】,——————,——————,——————,* 仅企业认证用户可见,*支付记录于表格下方,,,
序号,姓名,手机,报名日期,当前状态,身份证,,,
1,头像   ,18811112222,10/07 至 10/14,3 次完工，1 次未到岗,3.50623E+17,,,
2,陈总    ,15395900001,"10/07, 10/10, 10/1",0 次完工，2 次未到岗,(空),,,
3,陈二货,18059051790,"10/07, 10/11",1 次完工，1 次未到岗,3.50623E+17,,,
4,陈二十,15395905222,"10/07, 10/12, 10/14",3 次完工，1 次未到岗,3.50623E+17,,,
5,陈晨,15395905333,"10/07, 10/13",3 次完工，1 次未到岗,(空),,,
6,陈晓,15395905444,"10/07, 10/14",3 次完工，1 次未到岗,(空),,,
,,,,,,,,
,10/1 周一,——————,——————,——————,,,,
序号,姓名,手机,报名日期,当前状态,身份证,打卡记录 1,打卡记录 2,
1,头像   ,18811112222,10/07 至 10/14,完工,3.50623E+17,9/12 9:00 福州海峡产业创意园9号楼,9/12 18:00福州海峡产业创意园9号楼,
2,陈总    ,15395900001,"10/07, 10/10, 10/1",未到岗,(空),9/12 9:00 福建师范大学旗山校区B区,9/12 9:00 福建师范大学旗山校区B区,
3,陈二货,18059051790,"10/07, 10/10, 10/1",未到岗,3.50623E+17,(空),9/12 9:00 福建师范大学旗山校区B区,
,,,,,,,,
,10/2 周二,——————,——————,——————,,,,
序号,姓名,手机,报名日期,当前状态,身份证,打卡记录 1,打卡记录 2,打卡记录 3
1,陈二货,18811112222,10/07 至 10/14,完工,3.50623E+17,9/12 9:00 福州海峡产业创意园9号楼,9/12 18:00福州海峡产业创意园9号楼,9/13 9:00福州海峡产业创意园9号楼
2,陈二十,15395900001,"10/07, 10/11",完工,3.50623E+17,9/12 9:00 福建师范大学旗山校区B区,9/12 9:00 福建师范大学旗山校区B区,(空)
3,陈晨,18059051790,"10/07, 10/11",完工,3.50623E+17,(空),(空),(空)
,,,,,,,,
,10/3 周三,——————,——————,——————,,,,
序号,姓名,手机,报名日期,当前状态,身份证,打卡记录 1,打卡记录 2,打卡记录 3
1,陈二货,18811112222,10/07 至 10/14,未到岗,3.50623E+17,9/12 9:00 福州海峡产业创意园9号楼,9/12 18:00福州海峡产业创意园9号楼,9/13 9:00福州海峡产业创意园9号楼
2,陈二十,15395900001,"10/07, 10/11",完工,3.50623E+17,9/12 9:00 福建师范大学旗山校区B区,9/12 9:00 福建师范大学旗山校区B区,(空)
,,,,,,,,
,,,,,,,,
【账单】,2015-10-07至2015-11-07,,,,,,,
序号,姓名,支付总额(元),,,,,,
1,头像   ,150,,,,,,
2,陈总    ,100,,,,,,
3,陈二货,120,,,,,,
4,陈二十,100,,,,,,
5,陈晨,0,,,,,,
6,陈晓,150,,,,,,
,,,,,,,,
【明细】,,,,,,,,
序号,10/7 周日,,,,,,,
,姓名,金额（元）,,,,,,
1,头像   ,30,,,,,,
2,陈总    ,0,,,,,,
3,陈二货,30,,,,,,
,,,,,,,,
序号,10/7 周日,,,,,,,
,姓名,金额（元）,,,,,,
1,头像   ,30,,,,,,
2,陈总    ,0,,,,,,
3,陈二货,30,,,,,,
,,,,,,,,
序号,10/8  周一,,,,,,,
,姓名,金额（元）,,,,,,
1,头像   ,30,,,,,,
2,陈总    ,0,,,,,,
3,陈二货,30,,,,,,
,,,,,,,,
序号,10/9 周二,,,,,,,
,姓名,金额（元）,,,,,,
1,头像   ,30,,,,,,
2,陈总    ,0,,,,,,
3,陈二货,30,,,,,,
